Store Name,Rating,Lat,Long,Address
Sprouts Farmers Market,4.5,39.27805,-76.82647,"9150 Baltimore National Pike Ste 1, Ellicott City, MD 21042, USA"
Sprouts Farmers Market,4.6,39.2778083,-76.5635841,"3800 Boston St, Baltimore, MD 21224, USA"
Sprouts Farmers Market,4.6,39.39763,-76.58440399999999,"803 Goucher Blvd, Towson, MD 21286, United States"
Sprouts Farmers Market,4.3,39.522533,-76.351654,"680 Marketplace Dr, Bel Air, MD 21014, USA"
Sprouts Farmers Market,4.5,39.12527,-76.59182,"8048 Ritchie Hwy Ste 6B, Pasadena, MD 21122, United States"
Sprouts Farmers Market,4.2,38.96934,-77.37683000000001,"494 Elden St Ste 110, Herndon, VA 20170, United States"
